Крюков Назар Захарьевич;1961-09-06;Уругвай;Russia;Ханты-Мансийский АО;Верхнее Пенжино;ул. З.Космодемьянской, д. 117 стр. 120;6957003200;049894988419;+7 (658) 656-5526;andron47@example.net
Светозар Ильич Брагин;1937-12-12;Австрия;Russia;Астраханская обл.;Шерегеш;пр. Чернышевского, д. 34 стр. 36;3723500355;259274839521;+7 (703) 525-0647;krilovsvjatopolk@example.net
Викентий Захарьевич Кулаков;1988-04-10;Босния и Герцеговина;Russia;Чукотский АО;Неплюевка;пер. Смирнова, д. 3/6;5287458141;280292399139;89555252513;demid_2012@example.com
Некрасова Регина Сергеевна;2002-08-08;Сьерра-Леоне;Russia;респ. Кабардино-Балкария;Мостовской;алл. Нахимова, д. 3/7 стр. 815;4094255040;128617693531;+7 (806) 272-64-72;kondrati_2013@example.net
Никифорова Синклитикия Ниловна;1935-04-12;Белоруссия;Russia;Пермский край;Черкесск;пер. Шмидта, д. 1 стр. 470;3748231669;890625018931;+7 826 214 1942;cheslav1999@example.net
Дементьев Максим Дмитриевич;1943-06-28;Танзания;Russia;Волгоградская обл.;Таштагол;ш. Свердлова, д. 8;9692326136;415600757504;8 (458) 692-06-23;xmorozov@example.net
Ангелина Егоровна Филатова;1946-08-20;Зимбабве;Russia;респ. Саха (Якутия);Оса;пр. Владимирский, д. 91 стр. 75;2881213797;115656617109;+7 551 207 49 98;alekse_1998@example.org
Кононова Ираида Артемовна;1974-06-02;Йемен;Russia;Хабаровский край;Междуреченский;наб. Карла Либкнехта, д. 1;2548368374;177017772990;8 176 999 98 92;prokl_92@example.com
Савельева Марина Натановна;1966-06-01;Белоруссия;Russia;респ. Крым;Солнечногорск;бул. Металлургов, д. 299 к. 46;2162532806;922266293525;+75931358912;mjasnikovauljana@example.org
Казимир Борисович Третьяков;1981-07-17;Латвия;Russia;Ненецкий АО;Билибино;алл. Тополиная, д. 3/6 стр. 5/9;9767485154;923151230390;8 625 582 9937;samuil57@example.org
Горшкова Эмилия Натановна;1955-09-14;Малави;Russia;респ. Бурятия;Бреды;ш. Болотное, д. 316 стр. 7;9317328325;199731973474;+7 662 215 81 36;tit_1988@example.org
Регина Аскольдовна Павлова;2005-02-24;Нидерланды;Russia;Чукотский АО;Миллерово;пр. Кирпичный, д. 4;6471501427;728049729288;8 699 022 9929;hariton_87@example.org
